"Date","Region","Units_sold","price_per_unit","revenue","marketing_spend","delivery_minutes"
"01/01","West",9,5.64,50.76,1406.24,108
"01/02","Midwest",38,19.02,722.76,168.86,25
"01/03","Northeast",64,28.73,1838.72,490.93,71
"01/04","Northeast",9,34.09,306.81,194.29,45
"01/05","South",5,19.3,96.5,946.064642857143,39
"01/06","Midwest",51,19.09,973.59,1678.2,34
"01/07","Midwest",22,53.91,1186.02,498.95,106
"01/08","Midwest",46,18.31,842.26,159.09,30
"01/09","Northeast",68,28.7,1951.6,609.42,79
"01/10","West",75,24.71,1853.25,1724.29,26
"01/11","Northeast",53,19.2,1017.6,1909.59,70
"01/12","South",27,40.08,1082.16,169.78,53
"01/13","South",74,6.98,516.52,498.58,74
"01/14","Northeast",74,33.18,2455.32,908.198115942029,107
"01/15","West",8,22.9,183.2,565.66,41
"01/16","South",34,23.31,792.54,628.19,98
"01/17","West",44,6.74,296.56,435.32,110
"01/18","West",53,11.78,624.34,415.16,60
"01/19","Northeast",27,39.22,1058.94,908.198115942029,103
"01/20","Midwest",73,33.97,2479.81,1330.28,22
"01/21","Midwest",66,5.26,347.16,390.02,58
"01/22","Midwest",37,27.51,1017.87,1946.36,30
"01/23","South",58,30.94,1794.52,1800.6,99
"01/24","West",27,14.63,395.01,1485.83,11
"01/25","Midwest",38,39.31,1493.78,1042.23,120
"01/26","West",2,28.28,56.56,1643.12,40
"01/27","Midwest",64,14.5,928,607.71,32
"01/28","Midwest",21,19.44,408.24,1760.72,77
"01/29","West",28,48.64,1361.92,1028.07,31
"01/30","Northeast",27,55.47,1497.69,298.23,78
"01/31","Midwest",10,32.78,327.8,759.16,35
"02/01","West",77,33.54,2582.58,823.32,68
"02/02","Midwest",48,32.55,1562.4,211.83,120
"02/03","West",48,59.19,2841.12,1124.01541666667,70
"02/04","Northeast",40,37.36,1494.4,62.64,107
"02/05","South",40,23.18,927.2,399.69,13
"02/06","Northeast",61,12.36,753.96,127.28,48
"02/07","South",29,7.35,213.15,861.5,64
"02/08","Midwest",65,32.32,2100.8,1586.24,89
"02/09","Northeast",52,15.79,821.08,908.198115942029,120
"02/10","Northeast",18,12.75,229.5,1413.42,107
"02/11","South",34,54.06,1838.04,410.62,49
"02/12","Midwest",48,19.54,937.92,1552.75,120
"02/13",NA,17,9.24,157.08,1077.4,115
"02/14","South",20,19.22,384.4,258.09,23
"02/15","Northeast",63,23.44,1476.72,384.09,58
"02/16","Northeast",54,48,2592,1717.48,68
"02/17","Northeast",62,57.27,3550.74,1638.71,35
"02/18","South",28,20.21,565.88,1650.6,104
"02/19","West",53,46.86,2483.58,1124.01541666667,107
"02/20","Northeast",11,18.02,198.22,539.62,26
"02/21","South",63,56.78,3577.14,1437.27,76
"02/22","West",36,49.6,1785.6,1983.95,120
"02/23","South",9,32.59,293.31,1832.84,15
"02/24","West",64,14.93,955.52,1494.21,67
"02/25","Midwest",69,22,1518,1634.84,85
"02/26","South",29,27.95,810.55,1161.56,81
"02/27",NA,50,48.91,2445.5,1130.99,71
"02/28","Northeast",11,47.35,520.85,1918.93,84
"03/01","Midwest",35,5.01,175.35,1327.8,53
"03/02","Midwest",21,15.06,316.26,1052.47,109
"03/03","Northeast",65,6.37,414.05,908.198115942029,92
"03/04","South",33,54.26,1790.58,946.064642857143,45
"03/05","West",0,57.13,0,1510.35,15
"03/06","Midwest",20,50.69,1013.8,1267.67,87
"03/07","West",80,10.44,835.2,1928.95,119
"03/08","Midwest",42,24.53,1030.26,1846.75,74
"03/09","West",6,27.28,163.68,1925.77,10
"03/10","West",30,12.77,383.1,1742,104
"03/11","South",71,22.28,1581.88,923.95,75
"03/12","West",7,32.53,227.71,858.27,120
"03/13","Northeast",45,23.51,1057.95,32.38,28
"03/14",NA,27,54.84,1480.68,28.65,120
